gbstring@exacuk,Time,Celsius(°C),Humidity(%rh),Dew Point(°C),Serial Number,,,,,,,,,,,,,,,,,,,,
268,04/05/2017 02:00,20.5,51,10,,,,,,,,,,,,,,,,,,,,,
269,04/05/2017 03:00,20.5,51,10,,,,,,,,,,,,,,,,,,,,,
270,04/05/2017 04:00,20,51,9.6,,,,,,,,,,,,,,,,,,,,,
271,04/05/2017 05:00,20,51,9.6,,,,,,,,,,,,,,,,,,,,,
272,04/05/2017 06:00,20,51,9.6,,,,,,,,,,,,,,,,,,,,,
273,04/05/2017 07:00,20,51,9.6,,,,,,,,,,,,,,,,,,,,,
274,04/05/2017 08:00,20,51,9.6,,,,,,,,,,,,,,,,,,,,,
275,04/05/2017 09:00,22.5,52,12.2,,,,,,,,,,,,,,,,,,,,,
276,04/05/2017 10:00,23,48,11.4,,,,,,,,,,,,,,,,,,,,,
277,04/05/2017 11:00,22.5,50.5,11.7,,,,,,,,,,,,,,,,,,,,,
278,04/05/2017 12:00,21.5,47,9.7,,,,,,,,,,,,,,,,,,,,,
279,04/05/2017 13:00,22,47.5,10.3,,,,,,,,,,,,,,,,,,,,,
280,04/05/2017 14:00,23,51,12.3,,,,,,,,,,,,,,,,,,,,,
281,04/05/2017 15:00,21,52.5,10.9,,,,,,,,,,,,,,,,,,,,,
282,04/05/2017 16:00,22.5,51,11.9,,,,,,,,,,,,,,,,,,,,,
283,04/05/2017 17:00,22,47,10.2,,,,,,,,,,,,,,,,,,,,,
284,04/05/2017 18:00,22,48,10.5,,,,,,,,,,,,,,,,,,,,,
285,04/05/2017 19:00,21,41,7.3,,,,,,,,,,,,,,,,,,,,,
286,04/05/2017 20:00,21.5,56,12.4,,,,,,,,,,,,,,,,,,,,,
287,04/05/2017 21:00,21,59,12.7,,,,,,,,,,,,,,,,,,,,,
288,04/05/2017 22:00,20.5,60,12.5,,,,,,,,,,,,,,,,,,,,,
289,04/05/2017 23:00,20.5,60,12.5,,,,,,,,,,,,,,,,,,,,,
290,05/05/2017 00:00,20.5,60,12.5,,,,,,,,,,,,,,,,,,,,,
291,05/05/2017 01:00,20.5,60.5,12.6,,,,,,,,,,,,,,,,,,,,,
292,05/05/2017 02:00,20,60.5,12.1,,,,,,,,,,,,,,,,,,,,,
293,05/05/2017 03:00,20,60.5,12.1,,,,,,,,,,,,,,,,,,,,,
294,05/05/2017 04:00,20,60,12,,,,,,,,,,,,,,,,,,,,,
295,05/05/2017 05:00,20,60,12,,,,,,,,,,,,,,,,,,,,,
296,05/05/2017 06:00,19.5,60,11.5,,,,,,,,,,,,,,,,,,,,,
297,05/05/2017 07:00,20,60.5,12.1,,,,,,,,,,,,,,,,,,,,,
298,05/05/2017 08:00,17,49.5,6.4,,,,,,,,,,,,,,,,,,,,,
299,05/05/2017 09:00,20.5,50.5,9.9,,,,,,,,,,,,,,,,,,,,,
300,05/05/2017 10:00,21.5,50.5,10.8,,,,,,,,,,,,,,,,,,,,,
301,05/05/2017 11:00,21.5,50.5,10.8,,,,,,,,,,,,,,,,,,,,,
302,05/05/2017 12:00,22,48.5,10.6,,,,,,,,,,,,,,,,,,,,,
303,05/05/2017 13:00,23,48,11.4,,,,,,,,,,,,,,,,,,,,,
304,05/05/2017 14:00,23,47,11.1,,,,,,,,,,,,,,,,,,,,,
305,05/05/2017 15:00,23,50.5,12.2,,,,,,,,,,,,,,,,,,,,,
306,05/05/2017 16:00,24.5,50,13.4,,,,,,,,,,,,,,,,,,,,,
307,05/05/2017 17:00,23.5,45.5,11.1,,,,,,,,,,,,,,,,,,,,,
308,05/05/2017 18:00,23,45,10.4,,,,,,,,,,,,,,,,,,,,,
309,05/05/2017 19:00,23,51.5,12.5,,,,,,,,,,,,,,,,,,,,,
310,05/05/2017 20:00,19.5,47,7.9,,,,,,,,,,,,,,,,,,,,,
311,05/05/2017 21:00,20,56,11,,,,,,,,,,,,,,,,,,,,,
312,05/05/2017 22:00,20,57,11.2,,,,,,,,,,,,,,,,,,,,,
313,05/05/2017 23:00,20,58,11.5,,,,,,,,,,,,,,,,,,,,,
314,06/05/2017 00:00,19.5,58,11,,,,,,,,,,,,,,,,,,,,,
